name, method, class, x, y
car,i,1,0.269409422694,0.293515358362
car,i,1,0.261446582614,0.286689419795
car,i,1,0.251493032515,0.276450511945
car,i,1,0.230922362309,0.255972696246
car,i,1,0.209688122097,0.242320819113
car,i,1,0.201725282017,0.235494880546
car,i,1,0.193762441938,0.22866894198
car,i,1,0.181154611812,0.215017064846
car,i,1,0.177173191772,0.204778156997
car,i,1,0.164565361646,0.180887372014
car,i,1,0.15195753152,0.17747440273
car,i,1,0.13404114134,0.146757679181
car,i,1,0.112806901128,0.133105802048
car,i,1,0.107498341075,0.126279863481
car,i,1,0.0968812209688,0.102389078498
car,i,1,0.0882548108825,0.0921501706485
car,i,1,0.0802919708029,0.0887372013652
car,i,1,0.0703384207034,0.0716723549488
car,i,1,0.0617120106171,0.0682593856655
car,i,1,0.0457863304579,0.037542662116
car,i,1,0.0325149303251,0.0204778156997
car,i,1,0.0205706702057,0.00682593856655
car,i,1,0.0092899800929,0.00682593856655
car,g,0,1.0,1.0
car,g,0,0.993174061433,0.990710019907
car,g,0,0.9795221843,0.984074319841
car,g,0,0.976109215017,0.974784339748
car,g,0,0.962457337884,0.952222959522
car,g,0,0.959044368601,0.944923689449
car,g,0,0.952218430034,0.936297279363
car,g,0,0.938566552901,0.930325149303
car,g,0,0.924914675768,0.919708029197
car,g,0,0.921501706485,0.910418049104
car,g,0,0.918088737201,0.902455209025
car,g,0,0.911262798635,0.894492368945
car,g,0,0.880546075085,0.857332448573
car,g,0,0.873720136519,0.849369608494
car,g,0,0.866894197952,0.841406768414
car,g,0,0.860068259386,0.832780358328
car,g,0,0.860068259386,0.824817518248
car,g,0,0.853242320819,0.817518248175
car,g,0,0.853242320819,0.806901128069
car,g,0,0.846416382253,0.799601857996
car,g,0,0.832764505119,0.772395487724
car,g,0,0.829351535836,0.763105507631
car,g,0,0.815699658703,0.753815527538
car,g,0,0.808873720137,0.748506967485
car,g,0,0.788395904437,0.743861977439
car,g,0,0.784982935154,0.738553417386
car,g,0,0.774744027304,0.725945587259
car,g,0,0.757679180887,0.71798274718
car,g,0,0.720136518771,0.690112806901
car,g,0,0.703071672355,0.678832116788
