name, method, class, x, y
car,i,1,0.838752488388,0.890784982935
car,i,1,0.827471798275,0.873720136519
car,i,1,0.822826808228,0.860068259386
car,i,1,0.816854678169,0.856655290102
car,i,1,0.79495686795,0.82252559727
car,i,1,0.78102189781,0.815699658703
car,i,1,0.772395487724,0.805460750853
car,i,1,0.763769077638,0.798634812287
car,i,1,0.752488387525,0.784982935154
car,i,1,0.742534837425,0.767918088737
car,i,1,0.733244857332,0.764505119454
car,i,1,0.724618447246,0.764505119454
car,i,1,0.716655607167,0.761092150171
car,i,1,0.697412076974,0.737201365188
car,i,1,0.689449236894,0.733788395904
car,i,1,0.682149966821,0.723549488055
car,i,1,0.670869276709,0.709897610922
car,i,1,0.661579296616,0.692832764505
car,i,1,0.65295288653,0.686006825939
car,i,1,0.647644326476,0.668941979522
car,i,1,0.636363636364,0.655290102389
car,i,1,0.620437956204,0.655290102389
car,i,1,0.608493696085,0.641638225256
car,i,1,0.591240875912,0.627986348123
car,i,1,0.582614465826,0.617747440273
car,i,1,0.573324485733,0.600682593857
car,i,1,0.56602521566,0.59385665529
car,i,1,0.554744525547,0.590443686007
car,i,1,0.550763105508,0.576791808874
car,i,1,0.542136695421,0.563139931741
car,i,1,0.533510285335,0.559726962457
car,i,1,0.523556735236,0.559726962457
car,i,1,0.504313205043,0.552901023891
car,i,1,0.492368944924,0.549488054608
car,i,1,0.484406104844,0.532423208191
car,i,1,0.475116124751,0.525597269625
car,i,1,0.465826144658,0.518771331058
car,i,1,0.456536164565,0.515358361775
car,i,1,0.449900464499,0.505119453925
car,i,1,0.441937624419,0.501706484642
car,i,1,0.433311214333,0.494880546075
car,i,1,0.415394824154,0.474402730375
car,i,1,0.408095554081,0.464163822526
car,i,1,0.396151293962,0.450511945392
car,i,1,0.384207033842,0.430034129693
car,i,1,0.374917053749,0.41638225256
car,i,1,0.366290643663,0.409556313993
car,i,1,0.357664233577,0.402730375427
car,i,1,0.34704711347,0.382252559727
car,i,1,0.340411413404,0.368600682594
car,i,1,0.323158593232,0.358361774744
car,i,1,0.317850033179,0.344709897611
car,i,1,0.311214333112,0.337883959044
car,i,1,0.304578633046,0.331058020478
car,i,1,0.296615792966,0.327645051195
car,i,1,0.282680822827,0.317406143345
car,i,1,0.274054412741,0.310580204778
car,i,1,0.262110152621,0.296928327645
car,i,1,0.250165892502,0.293515358362
car,i,1,0.235567352356,0.276450511945
car,i,1,0.226940942269,0.273037542662
car,i,1,0.22096881221,0.259385665529
car,i,1,0.212342402123,0.252559726962
car,i,1,0.207697412077,0.245733788396
car,i,1,0.193098871931,0.235494880546
car,i,1,0.183145321831,0.211604095563
car,i,1,0.173855341739,0.18771331058
car,i,1,0.164565361646,0.184300341297
car,i,1,0.144658261447,0.163822525597
car,i,1,0.134704711347,0.150170648464
car,i,1,0.128069011281,0.139931740614
car,i,1,0.122760451228,0.122866894198
car,i,1,0.114134041141,0.109215017065
car,i,1,0.102853351029,0.098976109215
car,i,1,0.0968812209688,0.0887372013652
car,i,1,0.0796284007963,0.061433447099
car,i,1,0.0676841406768,0.0580204778157
car,i,1,0.056403450564,0.0511945392491
car,i,1,0.0451227604512,0.0409556313993
car,i,1,0.0404777704048,0.0341296928328
car,i,1,0.0265428002654,0.0238907849829
car,i,1,0.0172528201725,0.0102389078498
car,i,1,0.00862641008626,0.00682593856655
car,g,0,1.0,1.0
car,g,0,0.986348122867,0.979429329794
car,g,0,0.976109215017,0.970802919708
car,g,0,0.965870307167,0.962176509622
car,g,0,0.959044368601,0.950232249502
car,g,0,0.938566552901,0.932315859323
car,g,0,0.931740614334,0.92103516921
car,g,0,0.918088737201,0.911081619111
car,g,0,0.901023890785,0.898473788985
car,g,0,0.894197952218,0.883875248839
car,g,0,0.894197952218,0.873258128733
car,g,0,0.887372013652,0.86396814864
car,g,0,0.880546075085,0.85600530856
car,g,0,0.860068259386,0.837425348374
car,g,0,0.856655290102,0.830126078301
car,g,0,0.839590443686,0.824817518248
car,g,0,0.82252559727,0.804910418049
car,g,0,0.81228668942,0.794293297943
car,g,0,0.805460750853,0.782349037823
car,g,0,0.80204778157,0.771731917717
car,g,0,0.795221843003,0.761778367618
car,g,0,0.78156996587,0.741871267419
car,g,0,0.778156996587,0.727272727273
car,g,0,0.767918088737,0.709356337094
car,g,0,0.754266211604,0.704711347047
car,g,0,0.750853242321,0.694757796948
car,g,0,0.740614334471,0.685467816855
car,g,0,0.737201365188,0.677504976775
car,g,0,0.726962457338,0.670205706702
car,g,0,0.723549488055,0.650298606503
car,g,0,0.716723549488,0.642335766423
car,g,0,0.699658703072,0.623755806238
car,g,0,0.696245733788,0.610484406105
car,g,0,0.686006825939,0.603185136032
car,g,0,0.682593856655,0.594558725946
car,g,0,0.668941979522,0.587923025879
car,g,0,0.648464163823,0.58195089582
car,g,0,0.621160409556,0.566688785667
car,g,0,0.61433447099,0.558062375581
car,g,0,0.590443686007,0.537491705375
car,g,0,0.569965870307,0.528201725282
car,g,0,0.552901023891,0.519575315196
car,g,0,0.542662116041,0.50895819509
car,g,0,0.535836177474,0.503649635036
car,g,0,0.529010238908,0.490378234904
